DATE,LUZVIS PRICE (PHP/KWH),LUZON DEMAND (MW),VISAYAS DEMAND (MW),LUZON SUPPLY (MW),VISAYAS SUPPLY (MW)
02-25,-0.012157607967838883,-11503.421272834403,-1560.2963026167597,-10235.738472120911,-733.5512254110515
02-26,1.1072856476902253,-7244.726273311932,-933.6763112242091,-9612.090164990346,-486.8878438459024
02-27,0.7668857852791435,-4936.681763026268,-580.2723667983873,-6092.985556489925,-985.7437147269424
02-28,0.45340242645579804,-4268.640383856054,-257.65707207902454,-7558.604834486548,-1318.538740206808
02-29,0.8446715138164055,-3943.563779636921,-20.86565211504798,-9304.665638901979,-947.0785132404886
03-01,1.3620746520576394,-3953.1443182749363,16.426746322513935,-12692.364502025788,-652.8585680745617
03-02,1.5275643852108103,-2833.6919802006146,327.3508473041042,-11476.37889548231,-1245.6474839653838
03-03,2.0883926702230826,-1988.7621470186718,452.2510735303153,-12958.569793831208,-506.9889438875197
03-04,1.7736837732392667,-502.25384025551637,487.8139220657248,-13592.797705878718,-342.03022377051786
03-05,1.2476700817349042,1907.6896915565774,646.2119956500572,-9878.81445549963,69.30097775548793
03-06,0.8138589342618522,2744.137724347152,361.81006923438883,-4676.918109230123,525.3408876963724
03-07,1.0860048970301572,2171.506305082902,9.86254594983555,-6068.89047528938,559.3958700442914
03-08,0.4729267893483646,1123.5519895368795,-127.904938195774,-7349.152007689151,468.84711070924027
03-09,0.12754649640890708,738.3006094115817,169.90683401869566,-5693.234616409863,977.1172046031533
03-10,0.1447832941413346,1265.9228104996118,-53.68687321889293,-4785.182356246032,87.01808127592949
03-11,0.8252250820890261,1579.8886515093466,-443.7373319241883,526.394952841469,408.65968984694473
03-12,-0.02791303863908088,2165.128465121834,-210.42105873124518,2026.835823572827,-210.47424365640336
03-13,0.06191263711030675,2872.5322709065317,138.5762320742229,1417.263931094777,435.06839035492607
03-14,-0.34367541838622834,2318.5775639710537,241.20796514974984,3237.7093967380683,321.6951730942376
03-15,-0.2385222801449944,2202.950449990584,242.454962413141,3991.3097586631566,916.6146994734687
03-16,0.10694543735259965,966.1914377713499,150.09921995050834,2542.7956665765,314.04564268245025
03-17,-0.1766271256455664,-956.242721218897,417.5149060593034,4645.542024587676,1684.312358885561
03-18,0.41909108108881804,-1455.9418508549513,493.91063130703895,2967.70224952647,1682.7792590417014
03-19,0.2006056022393799,-1333.7364795125309,800.540798824837,1253.9026388488169,2440.1638108612497
03-20,-0.408165427816842,-1492.2904036691414,724.3009076342183,2345.8653530244064,2616.162350939115
03-21,0.14635806267488105,-2015.9762260644834,930.576867715614,-1686.804198944837,1706.2189810365467
03-22,-0.03209643117781803,-1792.8205611799813,1005.516232885073,-1605.2196530667256,2857.658699196603
03-23,-0.7145641344238639,-9795.312254416816,-302.04381486131814,-60.660214820702095,1993.1439868282844
03-24,-1.0628625617403602,-10024.91197113703,-1123.896230513777,3256.7956852648554,991.1794310157392
03-25,-1.0461365272173255,-9045.293683943331,-742.3079416652572,1622.754305506965,811.0372157119973
03-26,-0.9036017842794185,-6852.055435888584,-446.05076827661946,1678.139614594464,1278.6532587252848
03-27,-0.8045600289475128,-6434.84262814694,-415.44369273534085,2702.8472563630075,1492.520792932307
03-28,-0.7155037595908187,-8514.683049368121,-950.6440535932796,-779.1952819076001,1843.404605025828
03-29,-0.4442173858636094,-9386.13482088284,-1369.4491111244083,-2470.8909904326097,1571.2438574324606
03-30,-0.42686871598506315,-9741.998725469979,-1254.6255972269685,-1074.6984054155555,1380.3757282343984
03-31,-0.7115515203400457,-11546.996876632451,-1759.6592261866695,-4393.2590180501575,1727.7557829893674
04-01,-0.6629285517008991,-16787.379372217616,-2374.149606614079,-5398.138010332494,1854.6725852981485
04-02,-0.162812269297891,-14915.662063497512,-2141.1284410532294,-5994.611159170633,1959.5836341822758
04-03,-0.7733657520612232,-8762.661388828275,-1005.6704848857268,-4387.82645673674,1910.1932623227624
04-04,-0.4646387390646078,-3420.5276417519976,-19.06066961841769,-3246.416016533767,2026.8531605219594
04-05,-0.4912057573791468,251.11647714424328,243.14718870172862,-3594.163803336647,2536.70101175442
04-06,-0.582534680455591,372.9926899739381,134.46581023126458,-1477.4345177325094,2037.9558962549888
04-07,0.06262074089066605,-2020.3999817364784,-169.29149778910153,-1635.5399209737784,1739.706322829918
04-08,1.4884397304039154,-6180.524551685636,-674.5912715628906,-14154.724514038895,1518.0294734752972
04-09,2.4625414987821355,-2415.838162730696,-261.52744455389893,-14692.823831174484,337.5844519093291
04-10,2.583239320650245,-775.1729088051139,251.773173061744,-13883.426071989112,49.24529727094997
04-11,0.765934370176541,2753.133441010899,791.6925773701477,-11409.024946854635,85.6108432196564
04-12,0.5481970974588706,1140.9877360323626,605.0198094671991,-9863.754389234826,130.26639308225828
04-13,0.6362851672069539,-1926.5650139559402,216.34782434311572,-10278.190101673734,552.3894615358547
04-14,1.733041697489936,1398.9362477974348,710.9846454812619,-9919.841328789746,626.3396297937593
04-15,1.6148942812628067,4768.07547432576,838.4163785567875,-5764.162348469357,-312.05233893463827
04-16,0.521679676516435,5642.689456235689,1051.7878376597102,-3055.625477738009,172.79591151504667
04-17,-0.5620292204673802,1918.2192894176337,582.4610580150779,-2986.9901960477623,511.1501658786233
04-18,-0.6435042622652851,1285.4379680007628,-25.48959638493305,-122.18201807569545,327.49999754161536
04-19,-0.2671825004102221,6444.542752259043,773.5280466710209,2440.901259700647,717.6567020030409
04-20,-0.14221217364974492,8185.302722427297,1321.9378619383308,4925.6604122323915,1064.3445297521384
04-21,0.7652764179509147,9373.070911773637,1661.9363269120952,230.79450801266853,1492.1928075990813
04-22,1.7700593670205895,9962.54203654072,1849.5089601833147,-3289.284409905705,1494.0554494381975
04-23,0.9778909136114646,11758.680480290186,1830.3567402255724,-1064.3551751821692,1620.7399151520692
04-24,-0.011630279523687474,10290.476066896797,1935.768903829472,-153.3874003412327,1885.084392607623
04-25,-0.12434847200652407,11959.700224931978,2061.611204419676,-1595.4527918408066,1968.467860278445
04-26,-0.19706911067331362,12407.212054200032,2150.3881429746543,-2652.7896862757957,2473.101398399362
04-27,-0.038193369692353804,9433.8131202587,1832.1815198857962,-2837.0427137831953,2502.87496000365
04-28,1.4277823386728201,4916.589528783122,1865.1850729221844,-3004.0281835606565,2368.855531392668
04-29,1.0166641135741978,6192.49274748366,1432.783146506515,-801.7571053929237,1926.5012104137809
04-30,0.1777070104586149,-107.09757589016496,392.1311222434902,-417.4222894560953,1732.0625684955608
05-01,0.49408813304427124,9253.000946137188,1705.2974932837894,-1925.2248159850215,2042.2341340137389
05-02,0.791067102988049,13776.701033722255,1780.3268780227208,-641.2817769561995,2064.801535148357
