DATE,LUZVIS PRICE (PHP/KWH),LUZON DEMAND (MW),VISAYAS DEMAND (MW),LUZON SUPPLY (MW),VISAYAS SUPPLY (MW),BLOCK
2022-04-06,4.2525,212434.0,39762.0,308266.89999999997,53767.119999999995,Weekday
2022-04-07,4.024583333333333,217753.0,39800.0,307074.42000000004,56521.479999999996,Weekday
2022-04-08,4.24625,215046.0,38505.0,305877.57999999996,56946.42,Weekday
2022-04-09,3.93625,197970.0,35091.0,290647.17000000004,56361.299999999996,Sun / Hol
2022-04-10,4.555000000000001,189633.0,32260.0,277548.23,55111.49,Sun / Hol
2022-04-11,4.293333333333334,211279.0,32322.0,290609.5900000001,54707.420000000006,Weekday
2022-04-12,4.7562500000000005,215720.0,32081.0,293786.2200000001,54402.74000000001,Weekday
2022-04-13,5.7825,209084.0,33486.0,277509.31000000006,54855.290000000015,Weekday
2022-04-14,6.2225,177663.0,31464.0,246045.97,54415.51000000001,Sun / Hol
2022-04-15,4.59375,165385.0,30235.0,256662.80999999997,54788.39,Sun / Hol
2022-04-16,5.641249999999999,177590.0,33726.0,239905.13,56332.63000000001,Sun / Hol
2022-04-17,5.729583333333333,177590.0,34421.0,259514.55000000005,56702.95,Sun / Hol
2022-04-18,10.56625,213908.0,40169.0,267688.69999999995,54863.74,Weekday
2022-04-19,8.492916666666668,222181.0,41478.0,271735.65,56422.25,Weekday
2022-04-20,8.025,224950.0,42567.0,270098.81,56267.8,Weekday
2022-04-21,10.49,229703.0,43719.0,267330.78,55655.56,Weekday
2022-04-22,8.503333333333334,232783.0,43498.0,277836.42,55681.61999999999,Weekday
2022-04-23,6.128333333333333,217556.0,41517.0,281396.23999999993,56391.18000000001,Sat
2022-04-24,6.202916666666667,204453.0,40117.0,279972.66,57068.48999999999,Sun / Hol
2022-04-25,6.632083333333333,231389.0,44006.0,290303.45999999996,56919.44000000001,Weekday
2022-04-26,7.423333333333333,236127.0,43955.0,301803.3,57182.53,Weekday
2022-04-27,7.72,236578.0,43266.0,289975.8699999999,56548.85999999999,Weekday
2022-04-28,9.565,237012.0,42330.0,287366.19999999995,58041.969999999994,Weekday
2022-04-29,9.855,238691.0,43658.0,290771.99,60758.36000000001,Weekday
2022-04-30,5.878333333333334,224881.0,41760.0,289098.66000000003,61045.68999999999,Sat
2022-05-01,4.4679166666666665,203667.0,38142.0,287994.67000000004,61308.42,Sun / Hol
2022-05-02,4.328333333333333,223935.0,42886.0,296643.3399999999,61700.73999999999,Weekday
2022-05-03,5.078333333333333,218748.0,41103.0,296829.15,61676.369999999995,Weekday
2022-05-04,5.638749999999999,235809.0,44101.0,302335.60000000003,62183.130000000005,Sun / Hol
2022-05-05,6.295000000000001,241248.0,43627.0,311797.78,60132.05,Weekday
2022-05-06,5.755416666666666,240780.0,43420.0,320229.27,62162.37000000001,Weekday
2022-05-07,5.335833333333333,229908.0,42936.0,321911.01999999996,62216.590000000004,Sat
2022-05-08,5.559583333333333,215073.0,40234.0,308354.82999999996,62306.45,Sun / Hol
2022-05-09,3.327916666666667,200901.0,37866.0,312112.97000000003,61873.130000000005,Weekday
2022-05-10,7.038333333333334,234578.0,43796.0,310983.52999999997,61837.119999999995,Weekday
2022-05-11,6.8566666666666665,244102.0,45276.0,312670.53,61921.959999999985,Weekday
2022-05-12,6.859166666666667,247208.0,46351.0,316626.04000000004,62428.07999999999,Weekday
2022-05-13,7.366666666666667,247715.0,45933.0,317119.16000000003,62026.33000000001,Weekday
2022-05-14,5.8374999999999995,236555.0,42234.0,310998.3,60367.50999999999,Sat
2022-05-15,5.269583333333333,209706.0,38151.0,304270.91000000003,60908.919999999984,Sun / Hol
2022-05-16,5.2804166666666665,225256.0,43101.0,313019.50000000006,61278.599999999984,Weekday
2022-05-17,6.094166666666666,226723.0,44641.0,300973.08999999997,61191.64,Weekday
2022-05-18,4.8966666666666665,224406.0,44305.0,311236.69999999995,60791.539999999986,Weekday
2022-05-19,4.46875,223036.0,44732.0,303886.14,61098.880000000005,Weekday
2022-05-20,4.162083333333333,219588.0,45213.0,307210.8,61199.05,Weekday
2022-05-21,4.822916666666667,205658.0,42043.0,288465.41,60768.74,Sat
2022-05-22,4.264166666666667,195500.0,38511.0,292250.61,61092.130000000005,Sun / Hol
2022-05-23,5.220416666666667,221506.0,43469.0,307425.92000000004,61303.79,Weekday
2022-05-24,5.976666666666667,233401.0,44449.0,319473.86,61006.07,Weekday
2022-05-25,7.1525,236815.0,44888.0,320542.49,58960.16,Weekday
2022-05-26,6.269583333333333,235853.0,46269.0,319259.3000000001,57609.35000000001,Weekday
2022-05-27,6.516666666666667,236556.0,42781.0,312642.57999999996,56826.899999999994,Weekday
2022-05-28,5.245,215382.0,40308.0,307158.54,57047.7,Sat
2022-05-29,6.883333333333333,203422.0,37809.0,295959.2800000001,57236.57,Sun / Hol
2022-05-30,7.494166666666666,231684.0,40985.0,297519.67,57092.990000000005,Weekday
2022-05-31,7.045416666666667,230362.0,41305.0,298320.99,57296.14,Weekday
2022-06-01,5.952916666666667,223086.0,43503.0,303459.6699999999,57594.94999999999,Weekday
2022-06-02,7.548749999999999,229193.0,43724.0,303187.2,57213.77999999999,Weekday
2022-06-03,13.503749999999998,237553.0,42079.0,291688.91,58538.59,Weekday
2022-06-04,6.189583333333334,226492.0,41521.0,271371.74999999994,61958.409999999996,Sat
2022-06-05,7.307916666666667,210653.0,36391.0,255484.2,60517.76,Sun / Hol
2022-06-06,9.383333333333335,234434.0,41528.0,285320.93,62112.76000000001,Weekday
2022-06-07,6.776666666666667,240297.0,43159.0,298385.23,62203.640000000014,Weekday
2022-06-08,7.812916666666666,238927.0,43207.0,294397.6,62188.71000000001,Weekday
2022-06-09,11.521666666666667,239508.0,43637.0,288634.98,62384.79999999999,Weekday
2022-06-10,7.678333333333334,242130.0,43844.0,280541.82,61639.42,Weekday
2022-06-11,8.0025,228037.0,39836.0,259938.68,60065.030000000006,Sat
2022-06-12,6.347916666666666,208664.0,37386.0,262637.16,61344.08999999999,Sun / Hol
2022-06-13,10.227083333333335,236380.0,42558.0,290860.99000000005,58862.80000000002,Weekday
2022-06-14,8.359583333333333,238282.0,42507.0,291686.86000000004,61554.49999999999,Weekday
2022-06-15,7.512083333333333,235362.0,43236.0,292204.1200000001,61454.14000000001,Weekday
2022-06-16,11.149999999999999,238974.0,44202.0,287843.57000000007,60011.52000000001,Weekday
2022-06-17,8.432916666666666,244351.0,44400.0,280157.26999999996,59358.319999999985,Weekday
2022-06-18,7.477083333333333,226711.0,42418.0,269316.25,59268.500000000015,Sat
2022-06-19,11.07,208610.0,39106.0,248026.21999999997,58672.049999999996,Sun / Hol
2022-06-20,8.625833333333333,232393.0,43591.0,271864.98,58027.799999999996,Weekday
2022-06-21,7.4325,235440.0,41472.0,259683.86000000007,56399.00999999999,Weekday
2022-06-22,11.039583333333333,234002.0,39847.0,260009.00000000006,56855.329999999994,Weekday
2022-06-23,8.575000000000001,225302.0,41671.0,262796.31,58449.07000000001,Weekday
2022-06-24,7.480833333333333,228069.0,42817.0,269455.93999999994,59896.409999999996,Weekday
2022-06-25,7.002083333333334,218222.0,40998.0,272761.19000000006,61240.52000000001,Sat
2022-06-26,6.421666666666667,199795.0,37759.0,273511.01,60785.58,Sun / Hol
2022-06-27,6.127916666666667,218180.0,41227.0,287650.97000000003,60686.570000000014,Weekday
2022-06-28,6.122083333333333,219663.0,41038.0,287780.19999999995,61036.90999999999,Weekday
